Modelid,Description,Model File,Input Data File,Output Data File,Date
1,Nandi Toyota Utrust All Branch-Purchase,UTrust_Purchase_DT_1.2.rds,Nandi Toyota UTrust All Branch-Purchase.csv,Nandi Toyota UTrust All Branch-Purchase - scored.csv,1641713459000
2,Popular Bajaj Kochi-Sales,Bajaj_Sales_DT_1.1.rds,Popular Bajaj Kochi-Sales.csv,Popular Bajaj Kochi-Sales - scored.csv,1641713459000
3,Popular Hyundai Kochi-New Car Sales,Hyundai Sales_DT_1.1.rds,Popular Hyundai Kochi-New Car Sales.csv,Popular Hyundai Kochi-New Car Sales - scored.csv,1641713459000
4,Nandi Toyota Utrust All Branch-Non Trade-in,UTrust_NonTradeIn_DT_1.1.rds,Nandi Toyota Utrust All Branch-Non Trade-in.csv,Nandi Toyota Utrust All Branch-Non Trade-in - scored.csv,1641713459000
